iter	Passed	Remaining
0	157	156907
1	157	78775
2	158	52717
3	159	39678
4	160	31847
5	160	26622
6	161	22885
7	162	20090
8	162	17921
9	163	16178
10	164	14755
11	164	13574
12	165	12572
13	166	11705
14	166	10956
15	167	10296
16	167	9712
17	168	9199
18	169	8737
19	169	8322
20	170	7949
21	171	7610
22	171	7303
23	172	7018
24	173	6757
25	173	6514
26	174	6288
27	175	6080
28	175	5885
29	176	5704
30	177	5535
31	177	5378
32	178	5230
33	179	5092
34	179	4958
35	180	4834
36	181	4718
37	181	4606
38	182	4501
39	183	4400
40	184	4305
41	184	4214
42	185	4127
43	186	4043
44	186	3967
45	187	3893
46	188	3822
47	189	3756
48	190	3689
49	190	3623
50	191	3561
51	192	3503
52	192	3446
53	193	3391
54	194	3338
55	195	3288
56	195	3239
57	196	3192
58	197	3145
59	197	3099
60	198	3055
61	199	3014
62	199	2973
63	200	2934
64	201	2896
65	202	2859
66	202	2822
67	203	2783
68	203	2749
69	204	2718
70	205	2685
71	205	2654
72	206	2623
73	207	2594
74	208	2565
75	208	2537
76	209	2509
77	210	2483
78	210	2458
79	211	2432
80	212	2406
81	212	2382
82	213	2357
83	214	2333
84	214	2308
85	215	2286
86	215	2261
87	216	2240
88	216	2219
89	217	2199
90	218	2179
91	218	2160
92	219	2141
93	220	2122
94	220	2104
95	221	2087
96	222	2070
97	223	2052
98	223	2035
99	224	2019
100	225	2003
101	225	1984
102	226	1968
103	226	1952
104	227	1937
105	227	1921
106	228	1906
107	228	1891
108	229	1876
109	230	1862
110	230	1847
111	231	1834
112	232	1821
113	232	1808
114	233	1795
115	233	1781
116	234	1768
117	234	1756
118	235	1742
119	235	1730
120	236	1718
121	237	1706
122	237	1693
123	238	1681
124	238	1670
125	239	1659
126	239	1648
127	240	1635
128	240	1624
129	241	1614
130	241	1603
131	242	1593
132	242	1583
133	243	1573
134	244	1563
135	244	1553
136	245	1544
137	245	1534
138	246	1525
139	246	1516
140	247	1508
141	248	1500
142	248	1491
143	249	1482
144	250	1474
145	250	1465
146	251	1457
147	251	1449
148	252	1441
149	252	1433
150	253	1424
151	254	1417
152	254	1409
153	255	1401
154	255	1394
155	256	1386
156	256	1378
157	257	1371
158	257	1364
159	258	1357
160	259	1350
161	259	1343
162	260	1336
163	260	1329
164	261	1323
165	262	1316
166	262	1310
167	263	1304
168	264	1298
169	264	1291
170	265	1285
171	265	1279
172	266	1273
173	267	1267
174	267	1261
175	268	1255
176	268	1249
177	269	1243
178	269	1237
179	270	1231
180	270	1224
181	271	1218
182	271	1213
183	272	1207
184	272	1202
185	273	1196
186	273	1191
187	274	1185
188	275	1180
189	275	1175
190	276	1170
191	276	1165
192	277	1160
193	278	1155
194	278	1150
195	279	1145
196	279	1141
197	280	1136
198	281	1131
199	281	1127
200	282	1122
201	282	1117
202	283	1112
203	284	1108
204	284	1103
205	285	1099
206	285	1094
207	286	1089
208	286	1085
209	287	1081
210	287	1076
211	288	1072
212	289	1068
213	289	1063
214	290	1059
215	290	1055
216	291	1051
217	292	1047
218	292	1043
219	293	1040
220	294	1036
221	294	1032
222	295	1028
223	295	1024
224	296	1020
225	296	1016
226	297	1012
227	297	1008
228	298	1005
229	299	1001
230	299	997
231	300	993
232	300	990
233	301	986
234	301	982
235	302	979
236	303	975
237	303	972
238	304	968
239	304	964
240	305	961
241	305	957
242	306	954
243	307	951
244	307	948
245	308	945
246	308	941
247	309	938
248	310	935
249	310	931
250	311	928
251	311	925
252	312	922
253	312	918
254	313	915
255	314	912
256	314	909
257	315	906
258	315	903
259	316	900
260	316	897
261	317	893
262	317	890
263	318	887
264	319	884
265	319	881
266	320	878
267	320	876
268	321	873
269	322	870
270	322	868
271	323	865
272	323	862
273	324	859
274	324	856
275	325	853
276	326	851
277	326	848
278	327	845
279	327	842
280	328	840
281	328	837
282	329	834
283	330	832
284	330	829
285	331	826
286	331	824
287	332	821
288	332	818
289	333	816
290	333	813
291	334	811
292	335	808
293	335	806
294	336	804
295	337	801
296	337	799
297	338	797
298	338	794
299	339	792
300	340	789
301	340	787
302	341	784
303	341	782
304	342	779
305	342	777
306	343	775
307	343	772
308	344	770
309	345	767
310	345	765
311	346	763
312	346	761
313	347	758
314	347	756
315	348	754
316	349	752
317	349	749
318	350	747
319	350	745
320	351	743
321	352	741
322	352	739
323	353	737
324	353	734
325	354	732
326	354	730
327	355	728
328	356	726
329	356	724
330	357	721
331	357	719
332	358	717
333	358	715
334	359	713
335	360	711
336	360	709
337	361	707
338	361	705
339	362	703
340	363	701
341	363	699
342	364	697
343	364	695
344	365	693
345	365	691
346	366	689
347	367	687
348	367	686
349	368	684
350	368	682
351	369	680
352	370	678
353	370	676
354	371	674
355	371	672
356	372	670
357	372	668
358	373	666
359	373	664
360	374	663
361	375	661
362	375	659
363	376	657
364	376	655
365	377	654
366	378	652
367	378	650
368	379	648
369	380	647
370	380	645
371	381	643
372	381	642
373	382	640
374	383	638
375	383	636
376	384	635
377	385	633
378	385	632
379	386	630
380	386	628
381	387	626
382	388	625
383	388	623
384	389	622
385	390	620
386	390	618
387	391	617
388	392	615
389	392	614
390	393	612
391	393	610
392	394	609
393	395	607
394	395	606
395	396	604
396	396	602
397	397	601
398	398	599
399	398	598
400	399	596
401	400	595
402	400	593
403	401	592
404	402	590
405	402	589
406	403	587
407	404	586
408	404	584
409	405	583
410	405	581
411	406	580
412	407	578
413	407	577
414	408	575
415	408	574
416	409	572
417	410	571
418	410	569
419	411	568
420	412	566
421	412	565
422	413	564
423	414	562
424	414	561
425	415	559
426	416	558
427	416	556
428	417	555
429	417	553
430	418	552
431	419	551
432	419	549
433	420	548
434	420	546
435	421	545
436	422	543
437	422	542
438	423	541
439	424	539
440	424	538
441	425	536
442	425	535
443	426	534
444	427	532
445	427	531
446	428	530
447	429	528
448	429	527
449	430	525
450	430	524
451	431	523
452	432	521
453	432	520
454	433	518
455	433	517
456	434	515
457	434	514
458	435	513
459	435	511
460	436	510
461	437	508
462	437	507
463	438	506
464	438	504
465	439	503
466	439	502
467	440	500
468	441	499
469	441	498
470	442	496
471	442	495
472	443	494
473	444	492
474	444	491
475	445	490
476	446	489
477	447	488
478	448	487
479	448	486
480	449	484
481	450	483
482	450	482
483	451	481
484	451	479
485	452	478
486	453	477
487	453	475
488	454	474
489	454	473
490	455	472
491	455	470
492	456	469
493	457	468
494	457	466
495	458	465
496	458	464
497	459	463
498	459	461
499	460	460
500	461	459
501	461	457
502	462	456
503	462	455
504	463	454
505	463	452
506	464	451
507	464	450
508	465	449
509	466	447
510	466	446
511	467	445
512	467	444
513	468	442
514	468	441
515	469	440
516	470	439
517	470	437
518	471	436
519	471	435
520	472	434
521	473	433
522	473	431
523	474	430
524	474	429
525	475	428
526	475	427
527	476	425
528	477	424
529	477	423
530	478	422
531	478	421
532	479	419
533	479	418
534	480	417
535	480	416
536	481	415
537	482	413
538	482	412
539	483	411
540	483	410
541	484	409
542	484	408
543	485	406
544	486	405
545	486	404
546	487	403
547	487	402
548	488	401
549	488	399
550	489	398
551	490	397
552	490	396
553	491	395
554	491	394
555	492	393
556	492	391
557	493	390
558	493	389
559	494	388
560	495	387
561	495	386
562	496	385
563	496	384
564	497	382
565	497	381
566	498	380
567	499	379
568	499	378
569	500	377
570	500	376
571	501	375
572	502	374
573	502	373
574	503	372
575	504	371
576	504	370
577	505	368
578	506	367
579	506	366
580	507	365
581	507	364
582	508	363
583	509	362
584	509	361
585	510	360
586	511	359
587	511	358
588	512	357
589	512	356
590	513	355
591	514	354
592	514	353
593	515	352
594	515	351
595	516	350
596	517	349
597	517	347
598	518	346
599	518	345
600	519	344
601	519	343
602	520	342
603	521	341
604	521	340
605	522	339
606	523	338
607	523	337
608	524	336
609	524	335
610	525	334
611	525	333
612	526	332
613	527	331
614	527	330
615	528	329
616	529	328
617	529	327
618	530	326
619	531	325
620	531	324
621	532	323
622	532	322
623	533	321
624	534	320
625	534	319
626	535	318
627	535	317
628	536	316
629	536	315
